Name,height,weight,Position_player
Mark Acres,211cm,99kg,Center
Michael Adams,178cm,73kg,Point Guard
Mark Alarie,203cm,98kg,Power Forward
Courtney Alexander,196cm,92kg,Point Guard and Shooting Guard
Morris Almond,198cm,102kg,Shooting Guard
Ashraf Amaya,203cm,104kg,Power Forward
Alan Anderson,198cm,99kg,Small Forward and Shooting Guard
Ron Anderson,201cm,97kg,Small Forward
Gilbert Arenas,193cm,86kg,Point Guard
Trevor Ariza,203cm,97kg,Small Forward and Shooting Guard
Hilton Armstrong,211cm,106kg,Center and Power Forward
Chucky Atkins,180cm,72kg,Point Guard and Shooting Guard
Isaac Austin,208cm,115kg,Center
Johnny Austin,183cm,77kg,Shooting Guard
Deni Avdija,206cm,95kg,Small Forward
Joel Ayayi,196cm,81kg,Shooting Guard
Gus Bailey,196cm,83kg,Shooting Guard
Ron Baker,193cm,99kg,Shooting Guard
Patrick Baldwin Jr.,206cm,99kg,Small Forward
Greg Ballard,201cm,97kg,Small Forward
Jim Barnes,203cm,95kg,Power Forward and Center
John Barnhill,185cm,81kg,Point Guard and Shooting Guard
Earl Barron,213cm,113kg,Center
Will Barton,196cm,82kg,Shooting Guard and Small Forward
Billy Ray Bates,193cm,95kg,Shooting Guard
Dave Batton,208cm,108kg,Center
Lonny Baxter,203cm,117kg,Power Forward and Center
Bradley Beal,193cm,93kg,Shooting Guard
Ron Behagen,206cm,83kg,Power Forward
Jordan Bell,203cm,97kg,Center
Walt Bellamy,211cm,102kg,Center
Dāvis Bertāns,208cm,102kg,Power Forward
Mike Bibby,185cm,86kg,Point Guard
Dave Bing,190cm,81kg,Point Guard and Shooting Guard
DeJuan Blair,201cm,122kg,Power Forward and Center
Steve Blake,190cm,78kg,Point Guard
Andray Blatche,211cm,106kg,Power Forward and Center
Bojan Bogdanović,201cm,102kg,Small Forward and Power Forward
Muggsy Bogues,160cm,61kg,Point Guard
Etdrick Bohannon,206cm,99kg,Power Forward and Small Forward
Manute Bol,231cm,90kg,Center
George Bon Salle,203cm,99kg,Power Forward
