Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Minute_play_per_game,Points_per_game,Total_rebound_per_game,Assist_per_game
1,Mark Acres,1993,1993,1,12,246,24,40,0.0,0.0,10,14,24.0,61,5,3.0,6.0,11.0,32,58,0.6,,0.714,20.5,4.8,5.1,0.4
2,Michael Adams,1987,1994,4,281,8934,1295,3155,276.0,891.0,879,1031,185.0,856,1844,426.0,25.0,635.0,536,3745,0.41,0.31,0.853,31.8,13.3,3.0,6.6
3,Mark Alarie,1988,1991,4,261,4390,820,1741,32.0,126.0,257,317,365.0,906,289,110.0,81.0,253.0,574,1929,0.471,0.254,0.811,16.8,7.4,3.5,1.1
4,Courtney Alexander,2001,2002,2,83,2235,400,869,19.0,54.0,188,226,65.0,228,127,64.0,9.0,114.0,176,1007,0.46,0.352,0.832,26.9,12.1,2.7,1.5
5,Morris Almond,2012,2012,1,4,67,6,17,1.0,3.0,1,3,1.0,8,2,7.0,0.0,1.0,6,14,0.353,0.333,0.333,16.8,3.5,2.0,0.5
6,Ashraf Amaya,1997,1997,1,31,144,12,40,1.0,1.0,15,28,19.0,52,3,7.0,3.0,10.0,29,40,0.3,1.0,0.536,4.6,1.3,1.7,0.1
7,Alan Anderson,2016,2016,1,13,192,21,59,12.0,37.0,11,15,1.0,27,14,4.0,1.0,2.0,25,65,0.356,0.324,0.733,14.8,5.0,2.1,1.1
8,Ron Anderson,1994,1994,1,10,180,20,43,3.0,14.0,9,11,8.0,27,11,3.0,1.0,9.0,7,52,0.465,0.214,0.818,18.0,5.2,2.7,1.1
9,Gilbert Arenas,2004,2011,8,357,14049,2874,6818,868.0,2430.0,2314,2860,288.0,1513,2046,636.0,96.0,1239.0,1161,8930,0.422,0.357,0.809,39.4,25.0,4.2,5.7
10,Trevor Ariza,2013,2019,3,176,5659,785,1813,351.0,946.0,321,409,177.0,967,469,251.0,53.0,283.0,337,2242,0.433,0.371,0.785,32.2,12.7,5.5,2.7
11,Hilton Armstrong,2011,2011,1,41,412,31,64,1.0,3.0,14,23,39.0,114,10,15.0,16.0,25.0,75,77,0.484,0.333,0.609,10.0,1.9,2.8,0.2
12,Chucky Atkins,2006,2006,1,28,552,66,174,33.0,92.0,22,31,12.0,45,69,14.0,0.0,30.0,58,187,0.379,0.359,0.71,19.7,6.7,1.6,2.5
13,Isaac Austin,2000,2000,1,59,1173,151,352,1.0,4.0,94,137,64.0,282,74,17.0,38.0,107.0,128,397,0.429,0.25,0.686,19.9,6.7,4.8,1.3
